Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,27.049999237060547,27.350000381469727,27.049999237060547,27.299999237060547,24.088720321655273,33089
2020-01-03,27.299999237060547,27.299999237060547,27.049999237060547,27.299999237060547,24.088720321655273,57972
2020-01-06,27.100000381469727,27.25,27.049999237060547,27.149999618530273,23.956363677978516,84294
2020-01-07,27.049999237060547,27.25,27.049999237060547,27.100000381469727,23.912246704101562,61303
2020-01-08,27.049999237060547,27.149999618530273,27.049999237060547,27.149999618530273,23.956363677978516,45302
2020-01-09,27.149999618530273,27.149999618530273,27.049999237060547,27.100000381469727,23.912246704101562,33876
2020-01-10,27.100000381469727,27.149999618530273,27.100000381469727,27.149999618530273,23.956363677978516,19503
2020-01-13,27.0,27.5,27.0,27.200000762939453,24.000484466552734,96296
2020-01-14,27.200000762939453,27.450000762939453,27.149999618530273,27.25,24.04460334777832,41324
2020-01-15,27.200000762939453,27.450000762939453,27.149999618530273,27.299999237060547,24.088720321655273,76966
2020-01-16,27.149999618530273,27.399999618530273,27.149999618530273,27.399999618530273,24.176956176757812,21976
2020-01-17,27.549999237060547,27.549999237060547,27.299999237060547,27.399999618530273,24.176956176757812,20543
2020-01-20,27.25,27.399999618530273,27.25,27.399999618530273,24.176956176757812,73849
2020-01-30,26.350000381469727,26.850000381469727,26.350000381469727,26.600000381469727,23.47106170654297,199299
2020-01-31,26.600000381469727,26.799999237060547,26.5,26.700000762939453,23.559297561645508,130281
2020-02-03,26.5,26.700000762939453,26.299999237060547,26.700000762939453,23.559297561645508,160109
2020-02-04,26.75,26.75,26.700000762939453,26.700000762939453,23.559297561645508,31000
2020-02-05,26.700000762939453,26.700000762939453,26.350000381469727,26.450000762939453,23.33870506286621,232392
2020-02-06,26.850000381469727,26.850000381469727,26.5,26.700000762939453,23.559297561645508,59244
2020-02-07,26.5,26.75,26.25,26.600000381469727,23.47106170654297,253012
2020-02-10,26.5,26.75,26.399999618530273,26.75,23.60341453552246,58125
2020-02-11,26.600000381469727,27.0,26.600000381469727,27.0,23.82400894165039,34088
2020-02-12,27.0,27.0,26.799999237060547,26.799999237060547,23.647533416748047,22949
2020-02-13,26.850000381469727,26.850000381469727,26.799999237060547,26.850000381469727,23.691654205322266,77999
2020-02-14,26.799999237060547,26.899999618530273,26.75,26.899999618530273,23.73577117919922,105333
2020-02-17,26.799999237060547,27.0,26.799999237060547,26.899999618530273,23.73577117919922,148607
2020-02-18,26.899999618530273,26.950000762939453,26.799999237060547,26.799999237060547,23.647533416748047,35102
2020-02-19,26.899999618530273,27.049999237060547,26.899999618530273,26.899999618530273,23.73577117919922,137099
2020-02-20,27.0,27.049999237060547,26.899999618530273,26.950000762939453,23.779891967773438,63364
2020-02-21,27.049999237060547,27.049999237060547,26.850000381469727,26.899999618530273,23.73577117919922,92162
2020-02-24,26.899999618530273,26.899999618530273,26.75,26.75,23.60341453552246,55095
2020-02-25,26.5,26.850000381469727,26.5,26.700000762939453,23.559297561645508,47726
2020-02-26,26.700000762939453,26.850000381469727,26.700000762939453,26.799999237060547,23.647533416748047,37192
2020-02-27,26.799999237060547,26.850000381469727,26.700000762939453,26.75,23.60341453552246,66121
2020-03-02,26.600000381469727,26.700000762939453,26.350000381469727,26.700000762939453,23.559297561645508,128902
2020-03-03,26.700000762939453,26.75,26.649999618530273,26.649999618530273,23.51517677307129,47236
2020-03-04,26.600000381469727,26.799999237060547,26.600000381469727,26.700000762939453,23.559297561645508,76543
2020-03-05,26.950000762939453,26.950000762939453,26.700000762939453,26.899999618530273,23.73577117919922,30850
2020-03-06,26.899999618530273,27.0,26.850000381469727,27.0,23.82400894165039,123509
2020-03-09,27.0,27.0,26.549999237060547,26.649999618530273,23.51517677307129,103414
2020-03-10,26.5,26.799999237060547,26.350000381469727,26.700000762939453,23.559297561645508,166094
2020-03-11,26.75,26.75,26.5,26.5,23.382823944091797,59014
2020-03-12,26.5,26.5,26.299999237060547,26.399999618530273,23.294586181640625,397219
2020-03-13,25.350000381469727,26.25,25.200000762939453,25.649999618530273,22.632808685302734,546342
2020-03-16,25.649999618530273,25.649999618530273,25.200000762939453,25.350000381469727,22.368099212646484,170258
2020-03-17,24.5,26.200000762939453,24.5,25.350000381469727,22.368099212646484,116937
2020-03-18,25.149999618530273,25.399999618530273,25.0,25.299999237060547,22.323978424072266,112011
2020-03-19,25.149999618530273,25.5,24.450000762939453,25.5,22.500452041625977,333171
2020-03-20,25.700000762939453,25.850000381469727,25.5,25.549999237060547,22.544570922851562,244531
2020-03-23,25.399999618530273,26.75,25.25,26.600000381469727,23.47106170654297,141100
